ID,Tanggal,Bulan,Tahun,ImageAsli,ImageCV,Plat
1,13,Jan,2023,/static/upload/1/images.jpg,/static/upload/1/image.jpg,D1358AHG
2,18,Jan,2023,/static/upload/2/images.jpg,/static/upload/2/image.jpg,BE1419BH
