               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.019669,           0.0061733,                   0,             0.96156,             0.98795,              0.9803,              0.6744,            0.023192,           0.0041417,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.019577,            0.006555,                   0,             0.96132,             0.98795,             0.97683,             0.72384,            0.020373,           0.0040651,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.018886,           0.0066379,                   0,             0.95392,             0.99776,             0.97587,             0.73941,            0.019025,           0.0039926,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.018241,           0.0064043,                   0,             0.96339,             0.98795,             0.97384,             0.70844,             0.02049,           0.0039934,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.018053,           0.0060785,                   0,             0.96254,             0.98795,             0.97362,             0.70595,            0.020941,           0.0040273,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.017892,           0.0060477,                   0,             0.96326,             0.98795,             0.97362,             0.74324,            0.018797,           0.0039085,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.017299,            0.005826,                   0,             0.96208,             0.98795,             0.97397,             0.73612,            0.019185,           0.0038983,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.016627,           0.0058736,                   0,             0.95393,             0.99795,             0.97328,             0.69739,             0.02062,           0.0039315,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.01715,           0.0058051,                   0,             0.95395,             0.99828,             0.97172,             0.73088,            0.018996,            0.003899,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.016223,           0.0060069,                   0,             0.95395,             0.99843,             0.97146,             0.71733,            0.019511,           0.0038952,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.016537,           0.0058847,                   0,             0.95395,              0.9984,             0.97198,             0.71419,            0.019729,           0.0038879,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.015887,           0.0054885,                   0,             0.96057,             0.98795,             0.97222,             0.71224,            0.019424,           0.0038679,                   0,            0.000496,            0.000496,            0.000496
